id,panoid,date,lat,lon,svf,tvf,bvf
0,l-O0SLa5bpEJQ-SD9Q0mVg,2019-06,47.6040096,-122.3378845,0.348859008,0.206511731,0.402911584
1,awZ__XZJaMfZMUaIezeVNA,2019-06,47.60447455,-122.3367058,0.116318652,0.679132128,0.170038631
2,cUPVnqLy5SZsDfAkkDhv0A,2019-06,47.60498595,-122.3355204,0.367819443,0.188784123,0.415209243
3,gtOuJK57RL8Wh3I4DElksw,2019-05,47.60543613,-122.3344647,0.273484311,0.185810088,0.50489386
4,820Ol8hDkewSsxX32l-VtQ,2019-05,47.60595288,-122.3332516,0.251233209,0.41685376,0.265572734
5,KFnu_tGPMsgEbh2JqD0KOA,2017-07,47.60641756,-122.3321428,0.218323222,0.25428164,0.495594325
6,8o-o2tTwL2pbbVGc6ARnMg,2019-05,47.6068956,-122.3309867,0.276049614,0.432812359,0.276565499
7,U-nhQGFJK8HBpsAlIhvLLQ,2019-05,47.60738168,-122.3296741,0.051288706,0.00038907,0.849235643
8,ANZ4YOEg2y-AxGBY4fbVlw,2018-08,47.60786859,-122.3286431,0.33624572,0.549344724,0.065019424
9,hTtE_aA_UuoxUIqoKhLr7Q,2018-08,47.60838497,-122.3274214,0.500914081,0.17464553,0.2828869
10,Yy-bCicN3fnoWpextMf6xQ,2018-08,47.60877273,-122.3261528,0.459938186,0.154005873,0.358014936
11,msKJUXSOfTsI3mCgOY5lsw,2018-08,47.60926165,-122.3250721,0.379602202,0.148574896,0.418235289
12,QH18Z0n-AL6wDBTD3jIE7A,2019-05,47.60977561,-122.3239968,0.430794835,0.263286082,0.254887519
13,jO_xJuCF1VFXOh231z3BHg,2019-05,47.6102052,-122.3228322,0.35834814,0.136099787,0.501515015
14,uRrsnIfYa6h57uPvS_lVuQ,2019-05,47.61068525,-122.3217678,0.382606004,0.399262137,0.16511582
15,5ZcfxW5EMuLn4fcmydpIAQ,2019-05,47.6112321,-122.3206118,0.481047818,0.204047677,0.269922413
16,kGyEWgDDH4dz-tOg0S_OnQ,2019-05,47.61173216,-122.3194106,0.66215012,0.199864098,0.081196855
17,ec_NPUNe_miKK3zw5Q92XA,2019-05,47.6122055,-122.3182823,0.6058127,0.193088474,0.17022144
18,MJZRIatXky2dvdjTiHZwtw,2019-05,47.61268306,-122.3171434,0.297108998,0.244113769,0.407764301
19,HXL-K85eh6AryvpIedJuLw,2018-08,47.6131503,-122.3160253,0.481518255,0.171352023,0.31964963
20,TjwmSbUgZkd97h1IOIJxrg,2018-08,47.613638,-122.3148451,0.594991305,0.212857861,0.139680176
